Expected delay, Actual delay
35, 109.243697
35, 109.243697
36, 111.764706
36, 110.924370
36, 110.084034
36, 110.084034
36, 110.084034
36, 110.924370
36, 110.924370
36, 110.084034
36, 110.084034
36, 110.084034
37, 111.764706
37, 111.764706
37, 110.924370
37, 110.924370
37, 111.764706
37, 111.764706
37, 110.924370
37, 111.764706
37, 111.764706
37, 111.764706
38, 112.605042
38, 112.605042
38, 112.605042
38, 112.605042
38, 111.764706
38, 112.605042
38, 112.605042
38, 112.605042
38, 111.764706
38, 112.605042
39, 113.445378
39, 113.445378
39, 113.445378
39, 113.445378
39, 113.445378
39, 113.445378
39, 111.764706
39, 115.966387
39, 113.445378
39, 113.445378
40, 114.285714
40, 114.285714
40, 114.285714
40, 114.285714
40, 114.285714
40, 114.285714
40, 114.285714
40, 114.285714
40, 114.285714
40, 114.285714
41, 115.126050
41, 115.126050
41, 115.966387
41, 115.126050
41, 115.966387
41, 115.126050
41, 115.126050
41, 115.126050
41, 115.126050
41, 115.126050
42, 116.806723
42, 116.806723
42, 116.806723
42, 115.966387
42, 115.966387
42, 116.806723
42, 116.806723
42, 116.806723
42, 198.319328
42, 119.327731
43, 117.647059
43, 117.647059
43, 117.647059
43, 134.453782
43, 117.647059
43, 117.647059
43, 117.647059
43, 117.647059
43, 117.647059
43, 117.647059
44, 118.487395
44, 118.487395
44, 118.487395
44, 118.487395
44, 118.487395
44, 118.487395
44, 118.487395
44, 118.487395
44, 118.487395
44, 118.487395
45, 119.327731
45, 131.092437
45, 119.327731
45, 119.327731
45, 119.327731
45, 119.327731
45, 119.327731
45, 119.327731
45, 119.327731
45, 119.327731
46, 120.168067
46, 120.168067
46, 120.168067
46, 120.168067
46, 120.168067
46, 120.168067
46, 120.168067
46, 120.168067
46, 120.168067
46, 121.848739
47, 121.008403
47, 121.008403
47, 121.848739
47, 121.008403
47, 121.008403
47, 121.008403
47, 121.008403
47, 121.008403
47, 121.008403
47, 121.848739
48, 122.689076
48, 122.689076
48, 122.689076
48, 122.689076
48, 121.848739
48, 122.689076
48, 122.689076
48, 123.529412
48, 122.689076
48, 122.689076
49, 123.529412
49, 123.529412
49, 123.529412
49, 123.529412
49, 123.529412
49, 123.529412
49, 123.529412
49, 123.529412
49, 123.529412
49, 123.529412
50, 124.369748
50, 124.369748
50, 124.369748
50, 124.369748
50, 124.369748
50, 125.210084
50, 124.369748
50, 124.369748
50, 124.369748
50, 124.369748
51, 125.210084
51, 125.210084
51, 125.210084
51, 126.050420
51, 125.210084
51, 125.210084
51, 125.210084
51, 125.210084
51, 126.050420
51, 125.210084
52, 126.890756
52, 126.890756
52, 127.731092
52, 126.890756
52, 126.050420
52, 126.890756
52, 126.890756
52, 126.890756
52, 126.890756
52, 126.050420
53, 127.731092
53, 127.731092
53, 127.731092
53, 127.731092
53, 126.890756
53, 127.731092
53, 126.890756
53, 127.731092
53, 127.731092
53, 127.731092
54, 128.571429
54, 128.571429
54, 128.571429
54, 128.571429
54, 128.571429
54, 128.571429
54, 128.571429
54, 128.571429
54, 128.571429
54, 128.571429
55, 129.411765
55, 129.411765
55, 129.411765
55, 129.411765
55, 129.411765
55, 129.411765
55, 129.411765
55, 130.252101
55, 129.411765
55, 129.411765
56, 130.252101
56, 130.252101
56, 130.252101
56, 130.252101
56, 130.252101
56, 130.252101
56, 130.252101
56, 131.092437
56, 131.092437
56, 130.252101
57, 131.932773
57, 131.092437
57, 131.932773
57, 131.932773
57, 131.932773
57, 131.092437
57, 131.932773
57, 131.932773
57, 131.092437
57, 131.092437
58, 131.932773
58, 132.773109
58, 132.773109
58, 132.773109
58, 132.773109
58, 132.773109
58, 131.932773
58, 132.773109
58, 131.932773
58, 131.932773
59, 133.613445
59, 135.294118
59, 133.613445
59, 133.613445
59, 133.613445
59, 133.613445
59, 132.773109
59, 133.613445
59, 133.613445
59, 133.613445
60, 134.453782
60, 134.453782
60, 134.453782
60, 134.453782
60, 134.453782
60, 134.453782
60, 134.453782
60, 134.453782
60, 135.294118
60, 134.453782
61, 135.294118
61, 135.294118
61, 135.294118
61, 135.294118
61, 135.294118
61, 135.294118
61, 135.294118
61, 135.294118
61, 135.294118
61, 135.294118
62, 136.974790
62, 136.134454
62, 136.974790
62, 136.134454
62, 136.134454
62, 136.974790
62, 136.134454
62, 136.134454
62, 136.134454
62, 136.974790
63, 137.815126
63, 137.815126
63, 137.815126
63, 137.815126
63, 137.815126
63, 137.815126
63, 136.974790
63, 137.815126
63, 137.815126
63, 137.815126
64, 138.655462
64, 139.495798
64, 138.655462
64, 138.655462
64, 143.697479
64, 138.655462
64, 138.655462
64, 138.655462
64, 138.655462
64, 138.655462
65, 139.495798
65, 139.495798
65, 139.495798
65, 139.495798
